"X","Y","Z"
2680727.55,1247856.45,412.3
2680727.52,1247855.4,412.3
2680727.5,1247854.41,412.3
2680727.49,1247853.92,412.33
2680727.46,1247852.47,412.3
2680727.45,1247851.92,412.35
2680727.43,1247851.46,412.31
2680727.42,1247850.92,412.32
2680727.41,1247849.98,412.36
2680727.39,1247849.51,412.37
2680727.37,1247848.98,412.35
2680727.37,1247848.48,412.37
2680727.35,1247847.99,412.38
2680727.35,1247847.48,412.39
2680727.33,1247846.98,412.39
2680727.33,1247846.52,412.33
2680727.83,1247854.55,412.31
2680727.79,1247852.59,412.3
2680727.78,1247852.13,412.31
2680727.75,1247851.09,412.31
2680727.75,1247850.6,412.35
2680727.73,1247850.1,412.33
2680727.73,1247849.6,412.37
2680727.71,1247849.13,412.33
2680727.7,1247848.64,412.35
2680727.69,1247848.14,412.34
2680727.68,1247847.61,412.4
2680727.67,1247847.14,412.36
2680727.66,1247846.61,412.39
2680728.23,1247856.63,412.31
2680728.2,1247855.64,412.3
2680728.16,1247853.64,412.33
2680728.15,1247853.16,412.3
2680728.14,1247852.64,412.3
2680728.12,1247851.68,412.32
2680728.1,1247851.22,412.33
2680728.1,1247850.68,412.34
2680728.08,1247850.17,412.33
2680728.08,1247849.7,412.37
2680728.06,1247849.18,412.35
2680728.06,1247848.68,412.42
2680728.04,1247848.23,412.3
2680728.03,1247847.74,412.36
2680728.02,1247847.23,412.35
2680728.01,1247846.7,412.38
2680728.99,1247855.11,412.31
2680728.94,1247852.62,412.36
2680728.93,1247852.15,412.35
2680728.91,1247851.62,412.34
2680728.9,1247851.15,412.31
2680728.89,1247850.65,412.34
2680728.87,1247850.18,412.35
2680728.87,1247849.66,412.33
2680728.85,1247849.16,412.36
2680728.85,1247848.66,412.39
2680728.83,1247848.15,412.34
2680728.83,1247847.66,412.37
2680728.81,1247847.21,412.34
2680728.81,1247846.72,412.4
2680729.42,1247854.55,412.34
2680729.37,1247852.6,412.3
2680729.35,1247851.56,412.37
2680729.35,1247851.08,412.35
2680729.33,1247850.57,412.35
2680729.31,1247850.1,412.31
2680729.31,1247849.6,412.32
2680729.3,1247849.13,412.33
2680729.29,1247848.61,412.33
2680729.28,1247848.1,412.36
2680729.27,1247847.61,412.38
2680729.26,1247847.1,412.36
2680729.25,1247846.62,412.39
2680729.65,1247853.75,412.32
2680729.62,1247852.74,412.34
2680729.6,1247851.79,412.34
2680729.58,1247851.28,412.33
2680729.58,1247850.75,412.37
2680729.56,1247850.29,412.34
2680729.56,1247849.76,412.33
2680729.54,1247848.8,412.34
2680729.53,1247848.33,412.35
2680729.52,1247847.81,412.35
2680729.51,1247847.3,412.35
2680729.51,1247846.81,412.42
2680730.16,1247852.85,412.39
2680730.14,1247852.35,412.32
2680730.12,1247851.86,412.34
2680730.1,1247850.9,412.36
2680730.1,1247850.39,412.3
2680730.08,1247849.87,412.34
