"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"30716",30716,"Grünanlage","Platanus","30715","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5378","bm_30715","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680846.93011475, 1247883.61010742)
"30717",30717,"Grünanlage","Platanus","30716","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5379","bm_30716","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680844.08007812, 1247886.47009278)
"30718",30718,"Grünanlage","Platanus","30717","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5380","bm_30717","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680838.09008789, 1247891.77008057)
"30719",30719,"Grünanlage","Platanus","30718","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5381","bm_30718","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680831.84008789, 1247897.08007813)
"30720",30720,"Grünanlage","Picea","30719","omorika","Parkbaum","1970","0","Sihlfeld","Aemtlerstrasse","Picea omorika 'Pendula'","WD-5382","bm_30719","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680823.95007324, 1247905.78009033)
"30721",30721,"Grünanlage","Taxus","30720","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5383","bm_30720","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680828.17010498, 1247900.75012207)
"30722",30722,"Grünanlage","Taxus","30721","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5384","bm_30721","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680834.42010498, 1247894.77008057)
"30723",30723,"Grünanlage","Taxus","30722","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5385","bm_30722","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680836.73010254, 1247891.77008057)
"30724",30724,"Grünanlage","Taxus","30723","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5386","bm_30723","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680837.96008301, 1247888.37011718)
"30725",30725,"Grünanlage","Taxus","30724","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5387","bm_30724","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680841.77008057, 1247890.96008301)
"30726",30726,"Grünanlage","Taxus","30725","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5388","bm_30725","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680842.17010498, 1247888.92010498)
"30727",30727,"Grünanlage","Taxus","30726","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5390","bm_30726","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680845.98010254, 1247886.20007324)
"30728",30728,"Grünanlage","Taxus","30727","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5391","bm_30727","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680848.97009277, 1247886.33007812)
"30729",30729,"Grünanlage","Taxus","30728","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5392","bm_30728","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680846.66009521, 1247884.97009277)
"30730",30730,"Grünanlage","Taxus","30729","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5393","bm_30729","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680847.61010742, 1247882.53009033)
"30731",30731,"Grünanlage","Taxus","30730","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5394","bm_30730","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680849.2401123, 1247882.80010986)
"30732",30732,"Grünanlage","Nadelbaum","30731",NA,"Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Nadelbaum","WD-5395","bm_30731","Nadelbaum","nicht zugeordnet","Bildschirmeingabe",c(2680852.5100708, 1247877.90008545)
"30733",30733,"Grünanlage","Betula","30732","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5396","bm_30732","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680819.05010986, 1247891.64007568)
"30734",30734,"Grünanlage","Betula","30733","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5397","bm_30733","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680813.48010254, 1247885.93011475)
"30735",30735,"Grünanlage","Betula","30734","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5398","bm_30734","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680809.94012451, 1247901.97009277)
