"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"47896",47896,"Grünanlage","Picea","47895","abies","Parkbaum","1995","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7039","bm_47895","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680689.47009277, 1247511.36010742)
"47899",47899,"Grünanlage","Picea","47898","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7042","bm_47898","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680665.95007324, 1247532.28009033)
"47900",47900,"Grünanlage","Picea","47899","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7043","bm_47899","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680669.85009766, 1247532.13012695)
"47901",47901,"Grünanlage","Picea","47900","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7044","bm_47900","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680671.85009766, 1247528.05010986)
"47902",47902,"Grünanlage","Picea","47901","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7045","bm_47901","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680674.80010986, 1247522.66009521)
"47903",47903,"Grünanlage","Picea","47902","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7046","bm_47902","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680677.75012207, 1247522.95007324)
"47904",47904,"Grünanlage","Picea","47903","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7047","bm_47903","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680658.52008057, 1247543.06011963)
"47905",47905,"Grünanlage","Picea","47904","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7048","bm_47904","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680654.9901123, 1247547.14007568)
"47906",47906,"Grünanlage","Picea","47905","abies","Parkbaum","1985","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7049","bm_47905","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680655.10009766, 1247543.64007568)
"47907",47907,"Grünanlage","Picea","47906","abies","Parkbaum","1990","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7050","bm_47906","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680658.71008301, 1247541.45007324)
"47908",47908,"Grünanlage","Picea","47907","abies","Parkbaum","1985","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7051","bm_47907","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680657.80010986, 1247537.59008789)
"47909",47909,"Grünanlage","Picea","47908","abies","Parkbaum","1985","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7052","bm_47908","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680663.7401123, 1247537.30010987)
"47910",47910,"Grünanlage","Robinia","47909","spec.","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Robinia spec.","WD-7053","bm_47909","Robinie, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680648.31011963, 1247549.5100708)
"47911",47911,"Grünanlage","Robinia","47910","spec.","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Robinia spec.","WD-7054","bm_47910","Robinie, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680641.95007324, 1247556.06011963)
"47912",47912,"Grünanlage","Carpinus","47911","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7055","bm_47911","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680635.58007812, 1247554.70007324)
"47913",47913,"Grünanlage","Carpinus","47912","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7056","bm_47912","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680642.39007568, 1247550.11010743)
"47914",47914,"Grünanlage","Carpinus","47913","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7057","bm_47913","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680649.57012939, 1247541.73010254)
"47915",47915,"Grünanlage","Carpinus","47914","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7058","bm_47914","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680647.64007568, 1247546.69012451)
"47916",47916,"Grünanlage","Carpinus","47915","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7059","bm_47915","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680642.22009277, 1247553.15008545)
"47917",47917,"Grünanlage","Carpinus","47916","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7060","bm_47916","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680630.47009277, 1247568.03009033)
"47918",47918,"Grünanlage","Prunus","47917","serrulata","Parkbaum","1980","5","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Prunus serrulata 'Kanzan'","WD-7061","bm_47917","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Höhe:<10m, Breite:<10m","Bildschirmeingabe",c(2680653.69012451, 1247572.63012696)
"47919",47919,"Grünanlage","Carpinus","47918","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7062","bm_47918","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680623.07012939, 1247568.39007569)
"47920",47920,"Grünanlage","Robinia","47919","pseudoacacia","Parkbaum","1965","1","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Robinia pseudoacacia","WD-7063","bm_47919","Robinie, Schein-Akazie","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680633.62011719, 1247584.42010498)
"47921",47921,"Grünanlage","Prunus","47920","serrulata","Parkbaum","1980","5","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Prunus serrulata 'Kanzan'","WD-7064","bm_47920","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Höhe:<10m, Breite:<10m","Bildschirmeingabe",c(2680617.43011475, 1247593.84008789)
"47922",47922,"Grünanlage","Picea","47921","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7065","bm_47921","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680618.60009766, 1247580.93011475)
"47923",47923,"Grünanlage","Picea","47922","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7066","bm_47922","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680616.18011475, 1247575.00012207)
"47924",47924,"Grünanlage","Picea","47923","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7067","bm_47923","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680611.48010254, 1247579.66009521)
"47925",47925,"Grünanlage","Picea","47924","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7068","bm_47924","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680605.47009277, 1247583.96008301)
"47926",47926,"Grünanlage","Picea","47925","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7069","bm_47925","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680611.21008301, 1247585.86010742)
"47927",47927,"Grünanlage","Picea","47926","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7070","bm_47926","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680604.03009033, 1247595.80010986)
"47928",47928,"Grünanlage","Picea","47927","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7071","bm_47927","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680609.71008301, 1247590.48010254)
"47929",47929,"Grünanlage","Picea","47928","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7072","bm_47928","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680605.7401123, 1247589.90008545)
"47930",47930,"Grünanlage","Picea","47929","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7073","bm_47929","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680598.4901123, 1247586.98010254)
"47931",47931,"Grünanlage","Carpinus","47930","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7074","bm_47930","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680595.87011719, 1247579.4901123)
"47932",47932,"Grünanlage","Carpinus","47931","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7075","bm_47931","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680590.19012451, 1247572.7901001)
"47933",47933,"Grünanlage","Carpinus","47932","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7076","bm_47932","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680592.05010986, 1247575.56011963)
"47934",47934,"Grünanlage","Carpinus","47933","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7077","bm_47933","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680593.62011719, 1247577.67010499)
"47935",47935,"Grünanlage","Carpinus","47934","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7078","bm_47934","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680590.81011963, 1247578.91009521)
"47936",47936,"Grünanlage","Picea","47935","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7079","bm_47935","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680582.66009521, 1247568.0701294)
"47937",47937,"Grünanlage","Picea","47936","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7080","bm_47936","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680586.59008789, 1247567.0401001)
"47938",47938,"Grünanlage","Picea","47937","abies","Parkbaum","1985","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7081","bm_47937","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680580.14007568, 1247576.52008057)
"47939",47939,"Grünanlage","Picea","47938","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7082","bm_47938","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680576.90008545, 1247573.46008301)
"47940",47940,"Grünanlage","Picea","47939","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7083","bm_47939","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680576.13012695, 1247579.00012207)
"47941",47941,"Grünanlage","Picea","47940","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7084","bm_47940","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680567.60009766, 1247583.37011719)
"47942",47942,"Grünanlage","Picea","47941","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7085","bm_47941","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680563.87011719, 1247578.33007812)
"47943",47943,"Grünanlage","Taxus","47942","baccata","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Taxus baccata","WD-7086","bm_47942","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680586.03009033, 1247582.56011963)
"47944",47944,"Grünanlage","Taxus","47943","baccata","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Taxus baccata","WD-7087","bm_47943","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680619.23010254, 1247571.99011231)
"47945",47945,"Grünanlage","Quercus","47944","robur","Parkbaum","1964","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Quercus robur","WD-7088","bm_47944","Stiel-Eiche","nicht zugeordnet","Bildschirmeingabe",c(2680590.10009766, 1247592.05010986)
"47946",47946,"Grünanlage","Betula","47945","pendula","Parkbaum","1980","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7089","bm_47945","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680571.86010742, 1247594.37011719)
"47947",47947,"Grünanlage","Betula","47946","pendula","Parkbaum","1980","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7090","bm_47946","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680575.83007812, 1247594.88012695)
"47948",47948,"Grünanlage","Picea","47947","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7091","bm_47947","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680531.28009033, 1247569.17010498)
"47949",47949,"Grünanlage","Picea","47948","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7092","bm_47948","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680528.38012695, 1247574.82012939)
"47950",47950,"Grünanlage","Picea","47949","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7093","bm_47949","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680522.31011963, 1247576.52008057)
"47951",47951,"Grünanlage","Picea","47950","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7094","bm_47950","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680536.58007812, 1247564.62011719)
"47952",47952,"Grünanlage","Picea","47951","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7095","bm_47951","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680541.5100708, 1247560.2401123)
"47953",47953,"Grünanlage","Picea","47952","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7096","bm_47952","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680546.46008301, 1247555.87011719)
"47954",47954,"Grünanlage","Picea","47953","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7097","bm_47953","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680540.2600708, 1247564.91009521)
"47955",47955,"Grünanlage","Picea","47954","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7098","bm_47954","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680550.94012451, 1247561.35009766)
"47956",47956,"Grünanlage","Carpinus","47955","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7099","bm_47955","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680554.16009521, 1247565.34008789)
"47957",47957,"Grünanlage","Carpinus","47956","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7100","bm_47956","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680556.2600708, 1247567.89007569)
"47958",47958,"Grünanlage","Carpinus","47957","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7101","bm_47957","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680557.75012207, 1247570.65008545)
"47959",47959,"Grünanlage","Carpinus","47958","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7102","bm_47958","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680512.97009277, 1247584.33007812)
"47960",47960,"Grünanlage","Carpinus","47959","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7103","bm_47959","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680516.60009766, 1247581.00012207)
"47970",47970,"Grünanlage","Carpinus","47969","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7113","bm_47969","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680511.69012451, 1247581.56011963)
"47971",47971,"Grünanlage","Carpinus","47970","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7114","bm_47970","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680514.06011963, 1247580.7600708)
"47972",47972,"Grünanlage","Carpinus","47971","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7115","bm_47971","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680517.78009033, 1247577.33007813)
"47973",47973,"Grünanlage","Carpinus","47972","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7116","bm_47972","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680541.14007568, 1247556.05010986)
"47974",47974,"Grünanlage","Carpinus","47973","betulus","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-7117","bm_47973","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680544.35009766, 1247553.64007568)
"47975",47975,"Grünanlage","Betula","47974","pendula","Parkbaum","1980","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7118","bm_47974","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680520.23010254, 1247639.12011718)
"47976",47976,"Grünanlage","Picea","47975","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7119","bm_47975","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680514.28009033, 1247649.75012208)
"47977",47977,"Grünanlage","Picea","47976","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7120","bm_47976","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680510.31011963, 1247654.05010986)
"47978",47978,"Grünanlage","Picea","47977","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7121","bm_47977","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680523.12011719, 1247661.19012451)
"47979",47979,"Grünanlage","Picea","47978","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7122","bm_47978","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680517.20007324, 1247659.41009521)
"47980",47980,"Grünanlage","Picea","47979","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7123","bm_47979","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680520.02008057, 1247665.98010254)
"47981",47981,"Grünanlage","Betula","47980","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7124","bm_47980","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680528.44012451, 1247670.21008301)
"47982",47982,"Grünanlage","Betula","47981","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7125","bm_47981","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680527.82012939, 1247678.15008545)
"47983",47983,"Grünanlage","Betula","47982","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7126","bm_47982","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680553.5100708, 1247703.44012451)
"47984",47984,"Grünanlage","Betula","47983","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7127","bm_47983","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680555.22009277, 1247707.89007568)
"47985",47985,"Grünanlage","Betula","47984","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7128","bm_47984","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680559.85009766, 1247705.34008789)
"47986",47986,"Grünanlage","Cladrastis","47985","kentukea","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cladrastis kentukea","WD-7129","bm_47985","Gelbholz","nicht zugeordnet","Bildschirmeingabe",c(2680568.37011719, 1247710.2901001)
"47987",47987,"Grünanlage","Chamaecyparis","47986","lawsoniana","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis lawsoniana","WD-7130","bm_47986","Lawsons Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680557.77008057, 1247716.41009522)
"47988",47988,"Grünanlage","Chamaecyparis","47987","lawsoniana","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis lawsoniana","WD-7131","bm_47987","Lawsons Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680563.27008057, 1247716.05010986)
"47989",47989,"Grünanlage","Quercus","47988","robur","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Quercus robur","WD-7132","bm_47988","Stiel-Eiche","nicht zugeordnet","Bildschirmeingabe",c(2680615.23010254, 1247649.5900879)
"47990",47990,"Grünanlage","Picea","47989","abies","Parkbaum","1965","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-7133","bm_47989","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680603.31011963, 1247683.12011719)
"47991",47991,"Grünanlage","Taxus","47990","baccata","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Taxus baccata","WD-7134","bm_47990","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680613.65008545, 1247690.98010254)
"47992",47992,"Grünanlage","Taxus","47991","baccata","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Taxus baccata","WD-7135","bm_47991","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680609.90008545, 1247690.69012451)
"47993",47993,"Grünanlage","Betula","47992","pendula","Parkbaum","1965","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-7136","bm_47992","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680583.23010254, 1247700.38012695)
"47994",47994,"Grünanlage","Magnolia","47993","spec.","Parkbaum","1995","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Magnolia spec.","WD-7137","bm_47993","Magnolie, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680578.02008057, 1247687.9901123)
"47995",47995,"Grünanlage","Aesculus","47994","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7187","bm_47994","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680656.42010498, 1247889.31011963)
"47996",47996,"Grünanlage","Aesculus","47995","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7188","bm_47995","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680651.94012451, 1247883.92010498)
"47997",47997,"Grünanlage","Aesculus","47996","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7189","bm_47996","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680647.40008545, 1247878.42010498)
"47998",47998,"Grünanlage","Aesculus","47997","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7190","bm_47997","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680642.78009033, 1247872.85009766)
"47999",47999,"Grünanlage","Aesculus","47998","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7191","bm_47998","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680638.30010986, 1247867.54010009)
"48000",48000,"Grünanlage","Aesculus","47999","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7192","bm_47999","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680633.7600708, 1247862.05010986)
"48001",48001,"Grünanlage","Aesculus","48000","hippocastanum","Parkbaum","2008","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Aesculus hippocastanum","WD-7193","bm_48000","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680625.64007568, 1247852.10009766)
